,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,8beb51dc700145babfbd4b463478182b,21.92,Equity(1 [XLK]),Equity(1 [XLK]),-1096.0
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,ead41c762f274556afa29d70d088ff5d,32.009,Equity(4 [XLB]),Equity(4 [XLB]),-1600.45
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,33967dada9634f7e9dbd2eb4ff8627d5,31.44,Equity(5 [XLY]),Equity(5 [XLY]),-1572.0
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,17d52f2b55694c85b9a16bfd1565ba3f,26.98,Equity(6 [XLP]),Equity(6 [XLP]),-1349.0
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,ecba9845a6b2440f83763a026def230e,20.69,Equity(1 [XLK]),Equity(1 [XLK]),1034.5
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,8fcb5bbfe8aa4f25a855841e98c5d234,31.04,Equity(4 [XLB]),Equity(4 [XLB]),1552.0
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,ad269c234881473492b11fdcdfc93525,30.19,Equity(5 [XLY]),Equity(5 [XLY]),1509.5
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,fd530d1b7e4b4405bf00d076498fdecb,26.48,Equity(6 [XLP]),Equity(6 [XLP]),1324.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,0489f806f76a498d8f78f7f76cc40f14,23.02,Equity(1 [XLK]),Equity(1 [XLK]),-1151.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,b3cc3c78b59d4626942104c00ed053bd,56.06,Equity(3 [XLE]),Equity(3 [XLE]),-2803.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,fb5ddfe71c14409ca96e1336dcb86450,32.779,Equity(4 [XLB]),Equity(4 [XLB]),-1638.95
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,80fd8dbf20ca412a80a41ff290fda743,33.41,Equity(5 [XLY]),Equity(5 [XLY]),-1670.5
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,3876e03873fe4a1d92bd4ed071b1bfb9,27.879,Equity(6 [XLP]),Equity(6 [XLP]),-1393.95
2011-01-03 21:00:00+00:00,50,,2011-01-03 21:00:00+00:00,db7bf1cbf8ed4173a0529c8583e459f9,15.949,Equity(2 [XLF]),Equity(2 [XLF]),-797.45
2011-07-01 20:00:00+00:00,-50,,2011-07-01 20:00:00+00:00,2e3ad51c285a4e1e844395879d65a7d5,15.35,Equity(2 [XLF]),Equity(2 [XLF]),767.5
2011-08-01 20:00:00+00:00,-50,,2011-08-01 20:00:00+00:00,1d2382ef64ce4f02ae38bdcd6753dce3,38.009,Equity(4 [XLB]),Equity(4 [XLB]),1900.45
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,ae22cdedc6b543a790e37347ca290712,24.44,Equity(1 [XLK]),Equity(1 [XLK]),1222.0
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,c19f677e05ae4a1b981aa3b84494748c,68.639,Equity(3 [XLE]),Equity(3 [XLE]),3431.95
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,ba89daa59bbb41ab9a408f3eff1d4d80,37.57,Equity(5 [XLY]),Equity(5 [XLY]),1878.5
2011-10-03 20:00:00+00:00,-50,,2011-10-03 20:00:00+00:00,c3cff775fd494d1d8b31da435bf3c96d,29.66,Equity(6 [XLP]),Equity(6 [XLP]),1483.0
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,8164f5e32b594d4daf06b974f5b80c13,26.01,Equity(1 [XLK]),Equity(1 [XLK]),-1300.5
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,a35d93aa5b1446a4b0328d606d6dff13,39.02,Equity(5 [XLY]),Equity(5 [XLY]),-1951.0
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,44b71af40c4643d29fc99ee1492468f2,31.04,Equity(6 [XLP]),Equity(6 [XLP]),-1552.0
2011-12-01 21:00:00+00:00,-50,,2011-12-01 21:00:00+00:00,64c1346c80794843a26ad4a181c9db74,25.62,Equity(1 [XLK]),Equity(1 [XLK]),1281.0
2011-12-01 21:00:00+00:00,-50,,2011-12-01 21:00:00+00:00,c95ab5611d7a41668bf25ba1b84a0707,38.74,Equity(5 [XLY]),Equity(5 [XLY]),1937.0
2012-01-03 21:00:00+00:00,50,,2012-01-03 21:00:00+00:00,eda17921008849c287440518ed146ff0,39.02,Equity(5 [XLY]),Equity(5 [XLY]),-1951.0
2012-02-01 21:00:00+00:00,50,,2012-02-01 21:00:00+00:00,62917ef1c7e54d9681cc69a0b26f47f7,27.03,Equity(1 [XLK]),Equity(1 [XLK]),-1351.5
2012-02-01 21:00:00+00:00,50,,2012-02-01 21:00:00+00:00,bdd736420e97446ea5075509d41dae00,37.18,Equity(4 [XLB]),Equity(4 [XLB]),-1859.0
2012-03-01 21:00:00+00:00,50,,2012-03-01 21:00:00+00:00,fcacc5ae74e7406897495c8a6c5bc060,14.759,Equity(2 [XLF]),Equity(2 [XLF]),-737.95
