,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,eb9da392b997433091c0de9fda6086b5,21.92,Equity(1 [XLK]),Equity(1 [XLK]),-1096.0
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,07dfbbb174d04b89a975554163b265b5,32.009,Equity(4 [XLB]),Equity(4 [XLB]),-1600.45
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,bc69be398e5045a08287a7e9431028b4,31.44,Equity(5 [XLY]),Equity(5 [XLY]),-1572.0
2010-08-02 20:00:00+00:00,50,,2010-08-02 20:00:00+00:00,791153e8178e4b9682bcdefe9084f8ec,26.98,Equity(6 [XLP]),Equity(6 [XLP]),-1349.0
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,f691f0b709094a1482ce905c021c0249,20.69,Equity(1 [XLK]),Equity(1 [XLK]),1034.5
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,9a9b282592ce4a37bafe5e0f1fc4fb13,31.04,Equity(4 [XLB]),Equity(4 [XLB]),1552.0
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,c2a1671c20bf42aa850ed61530a7195a,30.19,Equity(5 [XLY]),Equity(5 [XLY]),1509.5
2010-09-01 20:00:00+00:00,-50,,2010-09-01 20:00:00+00:00,4039930f66734d6c9bbf0c5aa53bc4b0,26.48,Equity(6 [XLP]),Equity(6 [XLP]),1324.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,7df9d823b0ba4312a1178612909d610a,23.02,Equity(1 [XLK]),Equity(1 [XLK]),-1151.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,1fccd81d54164f59a7e80d2b4d285746,56.06,Equity(3 [XLE]),Equity(3 [XLE]),-2803.0
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,8efccbb533574c4c8ea684815155d512,32.779,Equity(4 [XLB]),Equity(4 [XLB]),-1638.95
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,94f6cf47d42c4cb7a0aa75c9d88929f6,33.41,Equity(5 [XLY]),Equity(5 [XLY]),-1670.5
2010-10-01 20:00:00+00:00,50,,2010-10-01 20:00:00+00:00,29d2f7f0fd8a4ec995cfc4e53c6ba0b3,27.879,Equity(6 [XLP]),Equity(6 [XLP]),-1393.95
2011-01-03 21:00:00+00:00,50,,2011-01-03 21:00:00+00:00,4dfded1adcf14935b5308ecc59522590,15.949,Equity(2 [XLF]),Equity(2 [XLF]),-797.45
2011-07-01 20:00:00+00:00,-50,,2011-07-01 20:00:00+00:00,f2dd5c7b71d941ca9a2ae6de80949348,15.35,Equity(2 [XLF]),Equity(2 [XLF]),767.5
2011-08-01 20:00:00+00:00,-50,,2011-08-01 20:00:00+00:00,b0d1756d4eeb4014b91cb8661f15d9b9,38.009,Equity(4 [XLB]),Equity(4 [XLB]),1900.45
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,302d30175e6f4924a6e699afaf48b4fe,24.44,Equity(1 [XLK]),Equity(1 [XLK]),1222.0
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,f47736c83a1045a2ac49af922788b31c,68.639,Equity(3 [XLE]),Equity(3 [XLE]),3431.95
2011-09-01 20:00:00+00:00,-50,,2011-09-01 20:00:00+00:00,03525714b512417b8a96be0c3ed8d2c5,37.57,Equity(5 [XLY]),Equity(5 [XLY]),1878.5
2011-10-03 20:00:00+00:00,-50,,2011-10-03 20:00:00+00:00,338e476342be49478849fe0822219fa0,29.66,Equity(6 [XLP]),Equity(6 [XLP]),1483.0
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,d39735cea00d4955987e40dd014baf40,26.01,Equity(1 [XLK]),Equity(1 [XLK]),-1300.5
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,6d4c5094ef6d4f1c94d63fa4b4f5ff35,39.02,Equity(5 [XLY]),Equity(5 [XLY]),-1951.0
2011-11-01 20:00:00+00:00,50,,2011-11-01 20:00:00+00:00,6a7a55a7774048fb9b9c94128d3d9769,31.04,Equity(6 [XLP]),Equity(6 [XLP]),-1552.0
2011-12-01 21:00:00+00:00,-50,,2011-12-01 21:00:00+00:00,4934cf1866cd48e6baec911a9704443e,25.62,Equity(1 [XLK]),Equity(1 [XLK]),1281.0
